Country,more_info,date_of_release,travel_advisory,risk_rating,text
Nigeria,http://smartraveller.gov.au/Countries/africa/west/Pages/nigeria.aspx,2017-07-20 07:13:56,True,caution,"Edo, Ekiti, Kwara, Lagos, Ogun, Ondo, Osun and Oyo states"
Nigeria,http://smartraveller.gov.au/Countries/africa/west/Pages/nigeria.aspx,2017-07-20 07:13:56,True,danger,"Adamawa, Bauchi, Borno, Gombe, Kano, Kaduna and Yobe states"
Nigeria,http://smartraveller.gov.au/Countries/africa/west/Pages/nigeria.aspx,2017-07-20 07:13:56,True,danger,"Riverine areas (coastal) of Akwa Ibom, Bayelsa, Cross Rivers, Delta and Rivers states "
Niue,http://smartraveller.gov.au/Countries/pacific/Pages/niue.aspx,2016-03-02 00:18:00,null,null,null
Northern Mariana Islands,http://smartraveller.gov.au/Countries/pacific/Pages/northern_mariana_islands.aspx,2016-03-02 00:25:00,null,null,null
Norway,http://smartraveller.gov.au/Countries/europe/northern/Pages/norway.aspx,2017-07-05 02:20:47,True,normal,Norway overall
Oman,http://smartraveller.gov.au/Countries/middle-east/Pages/oman.aspx,2017-07-07 05:43:42,True,normal,Oman overall
Oman,http://smartraveller.gov.au/Countries/middle-east/Pages/oman.aspx,2017-07-07 05:43:42,True,warning,Border areas with Yemen
Pakistan,http://smartraveller.gov.au/Countries/asia/south/Pages/pakistan.aspx,2017-08-11 05:10:19,True,warning,Pakistan overall
Pakistan,http://smartraveller.gov.au/Countries/asia/south/Pages/pakistan.aspx,2017-08-11 05:10:19,True,danger,"Balochistan, Federally-Administered Tribal Areas"
Pakistan,http://smartraveller.gov.au/Countries/asia/south/Pages/pakistan.aspx,2017-08-11 05:10:19,True,danger,Khyber-Pakhtunkhwa (excluding Chitral district)
Pakistan,http://smartraveller.gov.au/Countries/asia/south/Pages/pakistan.aspx,2017-08-11 05:10:19,True,danger,"Border areas with Afghanistan and India (excluding Lahore, Wagah, Kasur, Narowal and Sialkot)"
Palau,http://smartraveller.gov.au/Countries/pacific/Pages/palau.aspx,2017-07-07 06:45:46,True,normal,Palau overall
Panama,http://smartraveller.gov.au/Countries/americas/central/Pages/panama.aspx,2016-11-21 03:31:56,True,caution,Panama overall
Panama,http://smartraveller.gov.au/Countries/americas/central/Pages/panama.aspx,2016-11-21 03:31:56,True,danger,Darien Gap beyond Yaviza
Papua New Guinea,http://smartraveller.gov.au/Countries/pacific/Pages/papua_new_guinea.aspx,2017-08-23 05:01:33,True,caution,Papua New Guinea overall
Papua New Guinea,http://smartraveller.gov.au/Countries/pacific/Pages/papua_new_guinea.aspx,2017-08-23 05:01:33,True,warning,Porgera Township
