Country,more_info,date_of_release,travel_advisory,risk_rating,text
Bermuda,http://smartraveller.gov.au/Countries/americas/north/Pages/Bermuda.aspx,No Time,null,null,null
Bhutan,http://smartraveller.gov.au/Countries/asia/south/Pages/bhutan.aspx,2017-08-23 22:31:22,True,normal,Bhutan overall
Bolivia,http://smartraveller.gov.au/Countries/americas/south/Pages/bolivia.aspx,2017-08-25 23:55:22,True,caution,Bolivia overall
Bosnia and Herzegovina,http://smartraveller.gov.au/Countries/europe/southern/Pages/bosnia_and_herzegovina.aspx,2017-09-14 04:35:48,True,normal,Bosnia and Herzegovina overall
Botswana,http://smartraveller.gov.au/Countries/africa/southern/Pages/botswana.aspx,2017-07-11 06:07:04,True,normal,Botswana overall
Brazil,http://smartraveller.gov.au/Countries/americas/south/Pages/brazil.aspx,2017-08-22 03:51:58,True,caution,Brazil overall
Brunei Darussalam,http://smartraveller.gov.au/Countries/asia/south-east/Pages/brunei_darussalam.aspx,2017-05-15 06:19:33,True,normal,Brunei Darussalam overall
Bulgaria,http://smartraveller.gov.au/Countries/europe/eastern/Pages/bulgaria.aspx,2017-04-11 04:22:03,True,normal,Bulgaria overall
Burkina Faso,http://smartraveller.gov.au/Countries/africa/west/Pages/burkina_faso.aspx,2017-09-05 03:03:25,True,warning,Burkina Faso overall
Burkina Faso,http://smartraveller.gov.au/Countries/africa/west/Pages/burkina_faso.aspx,2017-09-05 03:03:25,True,danger,All areas along the border with Mali
Burkina Faso,http://smartraveller.gov.au/Countries/africa/west/Pages/burkina_faso.aspx,2017-09-05 03:03:25,True,danger,W National Park
Burundi,http://smartraveller.gov.au/Countries/africa/east/Pages/burundi.aspx,2016-12-06 03:09:32,True,danger,Burundi overall
